run_id,device,model,seed,status,best_step,parameters,latency_samples,esr,nmse,mae,gain_error,dc_error,correlation,mrstft,magnitude_error,log_spectral_distance_db,phase_error_radians,residual_energy_ratio
m4_fulltone_s4_seed1_v1,fulltone_full_drive_2,S4,1,completed,120,1244,16,0.21580912676529523,0.21580912688032736,0.05368225181422946,-0.2194453539784893,-0.00435745367553428,0.8861163324173192,1.4904176336497275,0.2752106396527528,5.9913553683959275,0.7365750896001322,1.1917190568487197e-05
m4_fulltone_s4_seed2_v1,fulltone_full_drive_2,S4,2,completed,160,1244,16,0.2116117567471899,0.21161175685998476,0.053140654525163096,-0.2054731289825663,-0.0012060008236269874,0.8879805878235676,1.4184648194956175,0.2677368362433649,5.497637884199263,0.7425494014991066,3.7758179964912753e-06
m4_bigmuff_b0_seed0_v1,electro_harmonix_big_muff,B0,0,completed,200,12145,0,0.548138314901611,0.5481383145180229,0.01114577116047969,-0.45004971395700366,0.0026661885493464567,0.6862723268002013,1.5020669752107956,0.48202768607045665,7.741756283204796,1.0310676095350253,0.0
m4_bigmuff_b0_seed1_v1,electro_harmonix_big_muff,B0,1,completed,200,12145,0,0.6535172623364656,0.6535172618791331,0.012433754427049346,-0.5289880283722472,0.0054261650137625555,0.6231844307795464,1.6026178046490287,0.5489947367184146,8.34708179648897,1.0802023360078077,0.0
m4_bigmuff_b0_seed2_v1,electro_harmonix_big_muff,B0,2,completed,200,12145,0,0.5969261171971662,0.5969261167794362,0.010737804372276201,-0.43684077108326613,-0.0024477641679633367,0.6644734756509154,1.5065626520118538,0.4905438031872681,7.884014729057308,1.0973822675192881,0.0
m4_bigmuff_b2_seed0_v1,electro_harmonix_big_muff,B2,0,completed,80,12153,0,0.9301268467674874,0.930126846116583,0.010998342893631316,-0.9303367776408714,0.00020324805332682606,0.26440137154595306,5.111237938970926,0.9325785276354207,20.88994892732781,1.4929418226004816,0.0
m4_bigmuff_b2_seed1_v1,electro_harmonix_big_muff,B2,1,completed,120,12153,0,1.050949530425693,1.050949529690237,0.012064247853497311,-1.0074291765689984,-0.0017343018601304581,-0.04051961264550317,4.989792541718024,0.9540724953945579,21.204924646212948,1.5591219277703652,0.0
m4_bigmuff_b2_seed2_v1,electro_harmonix_big_muff,B2,2,completed,120,12153,0,0.9308522949294002,0.9308522942779882,0.011513460137598349,-0.9235186485578029,-0.00117331477140854,0.26598484076024725,5.027516573646563,0.9319643540420587,20.924463312984518,1.4939248945633952,0.0
m4_bigmuff_s3_seed0_v1,electro_harmonix_big_muff,S3,0,completed,80,1244,0,0.9669655454152576,0.9669655447385734,0.013073694529634678,-0.9313484800115595,-0.0020015147831798927,0.21605668874893733,3.422188010015983,0.9147429714355964,18.74689429317648,1.5128542235938245,0.008688917367545802
m4_bigmuff_s3_seed1_v1,electro_harmonix_big_muff,S3,1,completed,80,1244,0,0.9493297204974003,0.9493297198330578,0.012611685938265156,-0.9299187558715862,0.0006417354303690756,0.23471169015596124,3.4403549268237565,0.9075704235112433,18.90244911186302,1.5113233673653683,0.00022696710516911027
m4_bigmuff_s3_seed2_v1,electro_harmonix_big_muff,S3,2,completed,200,1244,0,0.9960894315137137,0.9960894308166486,0.015120469414645713,-0.9000971510326755,-0.003962258320460213,0.2335713025601589,2.550566887146581,0.8517073278007629,15.442185224029283,1.500846349920263,0.000319357890864961
m4_bigmuff_s4_seed0_v1,electro_harmonix_big_muff,S4,0,completed,80,1244,16,0.9925119636610249,0.9925119629628453,0.012971256760212347,-0.9546589742766423,-0.00017824911278898107,0.1572222325683761,3.480022560745923,0.9127654601744655,18.973578825276572,1.5179948273814634,0.0022123950452218183
m4_bigmuff_s4_seed1_v1,electro_harmonix_big_muff,S4,1,completed,80,1244,16,0.9487259172996458,0.9487259166322675,0.012391355414938491,-0.9284622000469108,-0.0005071543751272948,0.23638138497560235,3.413324100730635,0.9062858220509126,18.84086045746702,1.5111760203604119,1.9687430600012173e-05
m4_bigmuff_s4_seed2_v1,electro_harmonix_big_muff,S4,2,completed,80,1244,16,0.9594585368473312,0.9594585361724027,0.012847943599786171,-0.9236470728519945,-0.00196640940407664,0.23129352264315847,3.244177010538152,0.9000191356955274,18.192624720537445,1.5109292793111477,0.0019774812607536167
